"Start Time","End Time","Text","Video Track","Layer ID"
"00:00:26:12","00:00:35:50","Question 1 Numéro 1","2","1"
"00:00:35:50","00:00:43:53","Question 1 Numéro 2","2","1"
"00:00:43:53","00:00:59:51","Question 1 Numéro 3","2","1"
"00:00:59:51","00:01:20:17","Question 1 Numéro 4","2","1"
"00:01:20:17","00:01:28:58","Question 1 Numéro 4","2","1"
"00:01:28:58","00:02:09:23","Question 1 Numéro 5","2","1"
"00:02:09:23","00:02:48:31","Question 1 Numéro 6","2","1"
"00:02:48:31","00:02:57:14","Question 1 Numéro 7","2","1"
"00:02:57:14","00:03:40:20","Question 1 Numéro 8","2","1"
"00:03:40:20","00:04:24:21","Question 1 Numéro 9","2","1"
"00:04:24:21","00:04:58:29","Question 1 Numéro 10","2","1"
"00:04:58:29","00:05:58:06","Question 1 Numéro 11","2","1"
"00:05:58:06","00:06:46:15","Question 1 Numéro 12","2","1"
"00:06:46:15","00:07:18:23","Question 1 Numéro 13","2","1"
"00:07:18:23","00:07:51:15","Question 1 Numéro 14","2","1"
"00:07:51:15","00:08:41:07","Question 1 Numéro 14","2","1"
"00:08:41:07","00:09:53:10","Question 1 Numéro 15","2","1"
"00:09:53:10","00:10:45:06","Question 1 Numéro 16","2","1"
"00:10:45:06","00:11:48:10","Question 1 Numéro 17","2","1"
"00:11:48:10","00:12:32:10","Question 2 Numéro 1","2","1"
"00:12:32:10","00:13:13:46","Question 2 Numéro 2","2","1"
"00:13:13:46","00:14:29:01","Question 2 Numéro 3","2","1"
"00:14:29:01","00:15:25:40","Question 2 Numéro 4","2","1"
"00:15:25:40","00:15:48:57","Question 2 Numéro 5","2","1"
"00:15:48:57","00:16:30:22","Question 2 Numéro 5","2","1"
"00:16:30:22","00:17:47:44","Question 2 Numéro 6","2","1"
"00:17:47:44","00:18:44:22","Question 2 Numéro 7","2","1"
"00:18:44:22","00:20:31:44","Question 2 Numéro 8","2","1"
"00:20:31:44","00:21:07:42","Question 3 Numéro 1","2","1"
"00:21:07:42","00:22:16:54","Question 3 Numéro 2","2","1"
"00:22:16:54","00:23:23:14","Question 3 Numéro 3","2","1"
"00:23:23:14","00:24:21:13","Question 3 Numéro 4","2","1"
"00:24:21:13","00:25:42:20","Question 3 Numéro 5","2","1"
"00:25:42:20","00:27:57:54","Question 3 Numéro 6","2","1"
"00:27:57:54","00:29:05:43","Question 3 Numéro 7","2","1"
"00:29:05:43","00:31:00:53","Question 3 Numéro 8","2","1"
"00:31:00:53","00:32:19:12","Question 4 Numéro 1","2","1"
"00:32:19:12","00:33:21:33","Question 4 Numéro 2","2","1"
"00:33:21:33","00:34:44:52","Question 4 Numéro 3","2","1"
"00:34:44:52","00:35:43:45","Question 4 Numéro 4","2","1"
"00:35:43:45","00:36:41:19","Question 4 Numéro 5","2","1"
"00:36:41:19","00:37:55:58","Question 4 Numéro 6","2","1"
"00:37:55:58","00:38:56:49","Question 5 ","2","1"
"00:38:56:49","00:39:57:54","Question 6 ","2","1"
"00:39:57:54","00:41:43:40","Question 6 ","2","1"
"00:41:43:40","00:43:21:51","Question 7 ","2","1"
"00:43:21:51","00:44:11:59","Question 8 ","2","1"
"00:44:11:59","00:46:31:14","Question 9 ","2","1"
"00:46:31:14","00:48:16:53","Question 9 ","2","1"
"00:48:16:53","00:49:12:58","Question 10 ","2","1"
"00:49:12:58","00:51:58:46","Question 10 ","2","1"
"00:51:58:46","00:52:28:38","Question 11 Numéro 1","2","1"
"00:52:28:38","00:53:07:43","Question 11 Numéro 2","2","1"
"00:53:07:43","00:53:36:28","Question 11 Numéro 3","2","1"
"00:53:36:28","00:53:46:25","Question 11 Numéro 4","2","1"
"00:53:46:25","00:54:41:39","Question 11 Numéro 5","2","1"
"00:54:41:39","00:55:46:23","Question 11 Numéro 6","2","1"
"00:55:46:23","00:56:36:12","Question 11 Numéro 7","2","1"
"00:56:36:12","00:57:29:49","Question 11 Numéro 8","2","1"
"00:57:29:49","00:58:34:43","Question 11 Numéro 9","2","1"
"00:58:34:43","00:58:44:09","Question 11 Numéro 10","2","1"
"00:58:44:09","00:59:33:42","Question 11 Numéro 11","2","1"
"00:59:33:42","01:00:32:27","Question 11 Numéro 12","2","1"
"01:00:32:27","01:01:09:30","Question 11 Numéro 13","2","1"
"01:01:09:30","01:02:23:04","Question 11 Numéro 14","2","1"
"01:02:23:04","01:05:26:27","Question 11 Numéro 15","2","1"
"01:05:26:27","01:06:53:24","Question 11 Numéro 16","2","1"
"01:06:53:24","01:08:51:10","Question 11 Numéro 17","2","1"
"01:08:51:10","01:09:58:27","Question 11 Numéro 18","2","1"
"01:09:58:27","01:10:38:26","Question 11 Numéro 18","2","1"
"01:10:38:26","01:11:04:49","Question 11 Numéro 19","2","1"
"01:11:04:49","01:11:55:23","Question 11 Numéro 19","2","1"
"01:11:55:23","01:13:40:29","Question 11 Numéro 20","2","1"
"01:13:40:29","01:15:54:52","Question 11 Numéro 21","2","1"
